Gene	experiment	X18MM1
ECs3219	X18MM2	72
ECs3220	X18MM2	78
ECs3221	X18MM2	288
ECs3222	X18MM2	47
ECs3223	X18MM2	9202
ECs3224	X18MM2	2322
ECs3225	X18MM2	1098
ECs3226	X18MM2	667
ECs3227	X18MM2	26461
ECs3228	X18MM2	151
ECs3229	X18MM2	7097
ECs3230	X18MM2	1060
argW	X18MM2	116
ECs3231	X18MM2	727
ECs3232	X18MM2	242
ECs3233	X18MM2	177
ECs3234	X18MM2	125
ECs3235	X18MM2	72
ECs3236	X18MM2	201
ECs3237	X18MM2	11
ECs3238	X18MM2	1215
ECs3239	X18MM2	456
ECs3240	X18MM2	297
ECs3241	X18MM2	434
ECs3242	X18MM2	108
ECs3243	X18MM2	969
ECs3244	X18MM2	6666
ECs3245	X18MM2	1083
ECs3246	X18MM2	177
ECs3247	X18MM2	81
ECs3248	X18MM2	1021
ECs3249	X18MM2	2093
ECs3250	X18MM2	235
ECs3251	X18MM2	17
ECs3252	X18MM2	103
ECs3253	X18MM2	216
ECs3254	X18MM2	230
ECs3255	X18MM2	83
ECs3256	X18MM2	37
ECs3257	X18MM2	240
ECs3258	X18MM2	27201
ECs3259	X18MM2	5389
ECs3260	X18MM2	2616
ECs3261	X18MM2	1885
ECs3262	X18MM2	1375
ECs3263	X18MM2	698
ECs3264	X18MM2	112
ECs3265	X18MM2	134
ECs3266	X18MM2	155
ECs3267	X18MM2	64
ECs3268	X18MM2	2426
ECs3269	X18MM2	1827
ECs3270	X18MM2	10928
ECs3271	X18MM2	5257
ECs3272	X18MM2	40032
ECs3273	X18MM2	5117
alaX	X18MM2	334
alaW	X18MM2	274
ECs3274	X18MM2	2579
ECs3275	X18MM2	2394
ECs3276	X18MM2	2788
ECs3277	X18MM2	1930
ECs3278	X18MM2	30519
valU	X18MM2	743
valX	X18MM2	1215
valY	X18MM2	162
lysV	X18MM2	55
ECs3279	X18MM2	851
ECs3280	X18MM2	660
ECs3281	X18MM2	1310
ECs3282	X18MM2	2974
ECs3283	X18MM2	9210
ECs3284	X18MM2	15674
ECs3285	X18MM2	3481
ECs3286	X18MM2	215510
ECs3287	X18MM2	32338
ECs3288	X18MM2	110519
ECs3289	X18MM2	55342
ECs3290	X18MM2	6467
ECs3291	X18MM2	1058
ECs3292	X18MM2	9104
ECs3293	X18MM2	30295
ECs3294	X18MM2	11531
ECs3295	X18MM2	16798
ECs3296	X18MM2	30894
ECs3297	X18MM2	3624
ECs3298	X18MM2	343
ECs3299	X18MM2	453
ECs3300	X18MM2	448
ECs3301	X18MM2	698
ECs3302	X18MM2	7765
ECs3303	X18MM2	10507
ECs3304	X18MM2	556
ECs3305	X18MM2	1284
ECs3306	X18MM2	2174
ECs3307	X18MM2	980
ECs3308	X18MM2	647
ECs3309	X18MM2	366
ECs3310	X18MM2	459
ECs3311	X18MM2	293
ECs3312	X18MM2	556
ECs3313	X18MM2	177
ECs3314	X18MM2	251
ECs3315	X18MM2	29
ECs3316	X18MM2	21
ECs3317	X18MM2	33
ECs3318	X18MM2	0
ECs3319	X18MM2	32
ECs3320	X18MM2	20
ECs3321	X18MM2	50
ECs3322	X18MM2	42
ECs3323	X18MM2	20
ECs3324	X18MM2	10
ECs3325	X18MM2	7941
ECs3326	X18MM2	12600
ECs3327	X18MM2	16618
ECs3328	X18MM2	2444
ECs3329	X18MM2	1134
ECs3330	X18MM2	430
ECs3331	X18MM2	1726
ECs3332	X18MM2	1550
ECs3333	X18MM2	303
ECs3334	X18MM2	6311
ECs3335	X18MM2	3555
ECs3336	X18MM2	3068
ECs3337	X18MM2	4662
ECs3338	X18MM2	41861
ECs3339	X18MM2	34365
ECs3340	X18MM2	38536
ECs3341	X18MM2	5405
ECs3342	X18MM2	9065
ECs3343	X18MM2	144
ECs3344	X18MM2	304
ECs3345	X18MM2	43
ECs3346	X18MM2	160
ECs3347	X18MM2	202
ECs3348	X18MM2	391
ECs3349	X18MM2	478
ECs3350	X18MM2	111
ECs3351	X18MM2	91
ECs3352	X18MM2	26
ECs3353	X18MM2	441
ECs3354	X18MM2	895
ECs3355	X18MM2	4567
ECs3356	X18MM2	6764
ECs3357	X18MM2	2962
ECs3358	X18MM2	4391
ECs3359	X18MM2	16869
ECs3360	X18MM2	35088
ECs3361	X18MM2	70423
ECs3362	X18MM2	21415
ECs3363	X18MM2	17544
ECs3364	X18MM2	11623
ECs3365	X18MM2	1320
ECs3366	X18MM2	3407
ECs3367	X18MM2	134
ECs3368	X18MM2	724
ECs3369	X18MM2	48973
ECs3370	X18MM2	18408
ECs3371	X18MM2	7183
ECs3372	X18MM2	1685
ECs3373	X18MM2	21364
ECs3374	X18MM2	28470
ECs3375	X18MM2	12554
ECs3376	X18MM2	27380
ECs3377	X18MM2	21776
ECs3378	X18MM2	25550
ECs3379	X18MM2	24563
ECs3380	X18MM2	20951
ECs3381	X18MM2	635
ECs3382	X18MM2	717
ECs3383	X18MM2	240
ECs3384	X18MM2	431
ECs3385	X18MM2	913
ECs3386	X18MM2	9754
ECs3387	X18MM2	3511
ECs3388	X18MM2	3148
ECs3389	X18MM2	7795
ECs3390	X18MM2	1957
ECs3391	X18MM2	3561
ECs3392	X18MM2	6846
ECs3393	X18MM2	4653
ECs3394	X18MM2	7347
ECs3395	X18MM2	5809
ECs3396	X18MM2	14398
ECs3397	X18MM2	8785
ECs3398	X18MM2	5572
ECs3399	X18MM2	26649
ECs3400	X18MM2	913
ECs3401	X18MM2	2345
ECs3402	X18MM2	2354
ECs3403	X18MM2	365
ECs3404	X18MM2	158
ECs3405	X18MM2	50
ECs3406	X18MM2	27
ECs3407	X18MM2	98
ECs3408	X18MM2	362
ECs3409	X18MM2	1479
ECs3410	X18MM2	283
ECs3411	X18MM2	188
ECs3412	X18MM2	85
ECs3413	X18MM2	315
ECs3414	X18MM2	66
ECs3415	X18MM2	359
ECs3416	X18MM2	1910
ECs3417	X18MM2	120387
ECs3418	X18MM2	926
ECs3419	X18MM2	6809
ECs3420	X18MM2	3656
ECs3421	X18MM2	3078
ECs3422	X18MM2	4786
ECs3423	X18MM2	50319
ECs3424	X18MM2	2188
ECs3425	X18MM2	2429
ECs3426	X18MM2	3550
ECs3427	X18MM2	1527
ECs3428	X18MM2	419
ECs3429	X18MM2	1783
ECs3430	X18MM2	5176
ECs3431	X18MM2	4286
ECs3432	X18MM2	19612
ECs3433	X18MM2	10980
ECs3434	X18MM2	21588
ECs3435	X18MM2	35648
ECs3436	X18MM2	5925
ECs3437	X18MM2	19829
ECs3438	X18MM2	54582
ECs3439	X18MM2	38867
ECs3440	X18MM2	17984
ECs3441	X18MM2	2937
ECs3442	X18MM2	17232
ECs3443	X18MM2	1539
ECs3444	X18MM2	433
ECs3445	X18MM2	5310
ECs3446	X18MM2	2633
ECs3447	X18MM2	12088
ECs3448	X18MM2	11337
ECs3449	X18MM2	1847
ECs3450	X18MM2	4726
ECs3451	X18MM2	4780
ECs3452	X18MM2	20983
ECs3453	X18MM2	702
ECs3454	X18MM2	4252
rrfG	X18MM2	20
rrlG	X18MM2	2458
gltW	X18MM2	2872
rrsG	X18MM2	6938
ECs3455	X18MM2	22794
ECs3456	X18MM2	4988
ECs3457	X18MM2	13085
ECs3458	X18MM2	24843
ECs3459	X18MM2	118
ECs3460	X18MM2	38562
ECs3461	X18MM2	228
ECs3462	X18MM2	3221
ECs3463	X18MM2	1813
ECs3464	X18MM2	3522
ECs3465	X18MM2	923
ECs3466	X18MM2	1402
ECs3467	X18MM2	1565
ECs3468	X18MM2	1067
ECs3469	X18MM2	88516
ECs3470	X18MM2	197320
ECs3471	X18MM2	183480
ECs3472	X18MM2	67478
ECs3473	X18MM2	18212
ECs3474	X18MM2	3780
ECs3475	X18MM2	3235
ECs3476	X18MM2	34706
ECs3477	X18MM2	4257
ECs3478	X18MM2	6144
ECs3479	X18MM2	8238
ECs3480	X18MM2	1362
ECs3481	X18MM2	2611
ECs3482	X18MM2	6551
ssrA	X18MM2	1815146
ECs3483	X18MM2	1283
ECs3484	X18MM2	1161
ECs3485	X18MM2	1581
ECs3486	X18MM2	305
ECs3487	X18MM2	388
ECs3488	X18MM2	37
ECs3489	X18MM2	171
ECs3490	X18MM2	872
ECs3491	X18MM2	1694
ECs3492	X18MM2	1140
ECs3493	X18MM2	890
ECs3494	X18MM2	550
ECs3495	X18MM2	143
ECs3496	X18MM2	37
ECs3497	X18MM2	28
ECs3498	X18MM2	2045
ECs3499	X18MM2	275
ECs3500	X18MM2	351
ECs3501	X18MM2	157
ECs3502	X18MM2	82
ECs3503	X18MM2	43
ECs3504	X18MM2	10
ECs3505	X18MM2	764
ECs3506	X18MM2	283
ECs3507	X18MM2	1281
ECs3508	X18MM2	15
ECs3509	X18MM2	22
ECs3510	X18MM2	196
ECs3511	X18MM2	75
ECs3512	X18MM2	27
ECs3513	X18MM2	36
ECs3514	X18MM2	1265
ECs3515	X18MM2	936
ECs3516	X18MM2	30
ECs3517	X18MM2	40
ileY	X18MM2	11
ECs3518	X18MM2	32
ECs3519	X18MM2	53
ECs3520	X18MM2	1967
ECs3521	X18MM2	1607
ECs3522	X18MM2	4065
ECs3523	X18MM2	3644
ECs3524	X18MM2	3586
ECs3525	X18MM2	2907
ECs3526	X18MM2	3983
ECs3527	X18MM2	2019
ECs3528	X18MM2	608
ECs3529	X18MM2	1807
ECs3530	X18MM2	392
ECs3531	X18MM2	909
ECs3532	X18MM2	1665
ECs3533	X18MM2	2691
ECs3534	X18MM2	895
ECs3535	X18MM2	208
ECs3536	X18MM2	123
ECs3537	X18MM2	100
ECs3538	X18MM2	995
ECs3539	X18MM2	349
ECs3540	X18MM2	8844
ECs3541	X18MM2	3815
ECs3542	X18MM2	7792
ECs3543	X18MM2	1699
ECs3544	X18MM2	5806
ECs3545	X18MM2	1351
ECs3546	X18MM2	9742
ECs3547	X18MM2	3032
ECs3548	X18MM2	3954
ECs3549	X18MM2	32340
ECs3550	X18MM2	32543
ECs3551	X18MM2	4112
ECs3552	X18MM2	4301
argQ	X18MM2	1898
argZ	X18MM2	3881
argY	X18MM2	5608
argV	X18MM2	4767
serV	X18MM2	6823
ECs3553	X18MM2	26752
ECs3554	X18MM2	72044
ECs3555	X18MM2	1376
ECs3556	X18MM2	38094
ECs3557	X18MM2	1841
ECs3558	X18MM2	2216
ECs3559	X18MM2	2796
ECs3560	X18MM2	444
ECs3561	X18MM2	1762
ECs3562	X18MM2	287
ECs3563	X18MM2	1970
ECs3564	X18MM2	1368
ECs3565	X18MM2	1375
ECs3566	X18MM2	124
ECs3567	X18MM2	229
ECs3568	X18MM2	785
ECs3569	X18MM2	125
ECs3570	X18MM2	740
ECs3571	X18MM2	342
ECs3572	X18MM2	636
ECs3573	X18MM2	562
ECs3574	X18MM2	106
ECs3575	X18MM2	108
ECs3576	X18MM2	76
ECs3577	X18MM2	96
ECs3578	X18MM2	12
ECs3579	X18MM2	87
ECs3580	X18MM2	9
ECs3581	X18MM2	38
ECs3582	X18MM2	102
ECs3583	X18MM2	456
ECs3584	X18MM2	55
ECs3585	X18MM2	579
ECs3586	X18MM2	1035
ECs3587	X18MM2	2830
ECs3588	X18MM2	441
ECs3589	X18MM2	4621
ECs3590	X18MM2	90
ECs3591	X18MM2	36
ECs3592	X18MM2	219
ECs3593	X18MM2	34
ECs3594	X18MM2	2162
ECs3595	X18MM2	88494
ECs3596	X18MM2	15943
ECs3597	X18MM2	3368
ECs3598	X18MM2	3277
ECs3599	X18MM2	6277
ECs3600	X18MM2	2187
ECs3601	X18MM2	3339
ECs3602	X18MM2	2666
ECs3603	X18MM2	1678
ECs3604	X18MM2	13197
ECs3605	X18MM2	88947
ECs3606	X18MM2	78039
ECs3607	X18MM2	2512
ECs3608	X18MM2	490
ECs3609	X18MM2	582
ECs3610	X18MM2	374
ECs3611	X18MM2	353
ECs3612	X18MM2	342
ECs3613	X18MM2	100
ECs3614	X18MM2	617
ECs3615	X18MM2	658
ECs3616	X18MM2	233
ECs3617	X18MM2	58056
ECs3618	X18MM2	80275
ECs3619	X18MM2	64197
ECs3620	X18MM2	2476
ECs3621	X18MM2	878
ECs3622	X18MM2	113
ECs3623	X18MM2	325
ECs3624	X18MM2	108
ECs3625	X18MM2	164
ECs3626	X18MM2	115
ECs3627	X18MM2	25
ECs3628	X18MM2	158
ECs3629	X18MM2	203
ECs3630	X18MM2	26
ECs3631	X18MM2	133
ECs3632	X18MM2	181
ECs3633	X18MM2	3957
ECs3634	X18MM2	18
ECs3635	X18MM2	50
ECs3636	X18MM2	12
ECs3637	X18MM2	226
ECs3638	X18MM2	677
ECs3639	X18MM2	253696
ECs3640	X18MM2	100488
ECs3641	X18MM2	2341
ECs3642	X18MM2	784
ECs3643	X18MM2	800
ECs3644	X18MM2	11814
ECs3645	X18MM2	2417
ECs3646	X18MM2	6568
ECs3647	X18MM2	483
ECs3648	X18MM2	247
ECs3649	X18MM2	287
ECs3650	X18MM2	3220
ECs3651	X18MM2	3713
ECs3652	X18MM2	1298
csrB	X18MM2	60008
ECs3653	X18MM2	3059
ECs3654	X18MM2	5268
ECs3655	X18MM2	8753
ECs3656	X18MM2	5369
ECs3657	X18MM2	1607
ECs3658	X18MM2	761
ECs3659	X18MM2	437
ECs3660	X18MM2	110
ECs3661	X18MM2	136
ECs3662	X18MM2	568
ECs3663	X18MM2	376
ECs3664	X18MM2	801
ECs3665	X18MM2	1653
ECs3666	X18MM2	4358
ECs3667	X18MM2	663
ECs3668	X18MM2	4665
gcvB	X18MM2	15040
ECs3669	X18MM2	26662
ECs3670	X18MM2	6834
ECs3671	X18MM2	1491
ECs3672	X18MM2	3420
ECs3673	X18MM2	7878
metZ	X18MM2	847
metW	X18MM2	2346
metV	X18MM2	663
ECs3674	X18MM2	4196
ECs3675	X18MM2	13555
ECs3676	X18MM2	8622
ECs3677	X18MM2	28726
ECs3678	X18MM2	18106
ECs3679	X18MM2	10120
ECs3680	X18MM2	231
ECs3681	X18MM2	312
ECs3682	X18MM2	558
ECs3683	X18MM2	287
ECs3684	X18MM2	11363
ECs3685	X18MM2	10774
ECs3686	X18MM2	8997
ECs3687	X18MM2	5946
ECs3688	X18MM2	703
ECs3689	X18MM2	1932
ECs3690	X18MM2	2625
ECs3691	X18MM2	18282
ECs3692	X18MM2	3146
ECs3693	X18MM2	9872
ECs3694	X18MM2	3223
ECs3695	X18MM2	13269
ECs3696	X18MM2	1000
ECs3697	X18MM2	1228
ECs3698	X18MM2	1156
ECs3699	X18MM2	637
ECs3700	X18MM2	1117
ECs3701	X18MM2	3803
ECs3702	X18MM2	542
ECs3703	X18MM2	38
ECs3704	X18MM2	128
ECs3705	X18MM2	17
ECs3706	X18MM2	88
ECs3707	X18MM2	158
ECs3708	X18MM2	82
ECs3709	X18MM2	104
ECs3710	X18MM2	20
ECs3711	X18MM2	7
ECs3712	X18MM2	46
ECs3713	X18MM2	6
ECs3714	X18MM2	1
ECs3715	X18MM2	21
ECs3716	X18MM2	70
ECs3717	X18MM2	65
ECs3718	X18MM2	23
ECs3719	X18MM2	39
ECs3720	X18MM2	28
ECs3721	X18MM2	48
ECs3722	X18MM2	10
ECs3723	X18MM2	26
ECs3724	X18MM2	9
ECs3725	X18MM2	27
ECs3726	X18MM2	27
ECs3727	X18MM2	36
ECs3728	X18MM2	8
ECs3729	X18MM2	6
ECs3730	X18MM2	105
ECs3731	X18MM2	118
ECs3732	X18MM2	67
ECs3733	X18MM2	87
ECs3734	X18MM2	40
ECs3735	X18MM2	24
ECs3736	X18MM2	174
ECs3737	X18MM2	86
glyU	X18MM2	138
ECs3738	X18MM2	4422
ECs3739	X18MM2	679
ECs3740	X18MM2	153
ECs3741	X18MM2	100
ECs3742	X18MM2	1181
ECs3743	X18MM2	101
ECs3744	X18MM2	322
ECs3745	X18MM2	170
ECs3746	X18MM2	233
ECs3747	X18MM2	436
ECs3748	X18MM2	292
ECs3749	X18MM2	54
ECs3750	X18MM2	243
ECs3751	X18MM2	456
ECs3752	X18MM2	124
ECs3753	X18MM2	160
ECs3754	X18MM2	1368
ECs3755	X18MM2	420
ECs3756	X18MM2	428
ECs3757	X18MM2	579
ECs3758	X18MM2	141
ECs3759	X18MM2	495
ECs3760	X18MM2	102
ECs3761	X18MM2	1172
ECs3762	X18MM2	39604
ECs3763;ID=biopygen1	X18MM2	0
Parent=biopygen1	X18MM2	0
ECs3764	X18MM2	8787
ECs3765	X18MM2	6690
ECs3766	X18MM2	5401
ECs3767	X18MM2	6122
ECs3768	X18MM2	4228
ECs3769	X18MM2	3604
ECs3770	X18MM2	4418
ECs3771	X18MM2	4028
ECs3772	X18MM2	1217
ECs3773	X18MM2	2030
ECs3774	X18MM2	57589
ECs3775	X18MM2	20190
ECs3776	X18MM2	50887
ECs3777	X18MM2	4644
ECs3778	X18MM2	5106
ECs3779	X18MM2	14689
ECs3780	X18MM2	8846
ECs3781	X18MM2	14433
ssrS	X18MM2	11612
ECs3782	X18MM2	5569
ECs3783	X18MM2	924
ECs3784	X18MM2	30182
ECs3785	X18MM2	13276
ECs3786	X18MM2	4511
ECs3787	X18MM2	896
ECs3788	X18MM2	211
ECs3789	X18MM2	223
ECs3790	X18MM2	601
ECs3791	X18MM2	35
ECs3792	X18MM2	357
ECs3793	X18MM2	13108
ECs3794	X18MM2	1287
ECs3795	X18MM2	63314
ECs3796	X18MM2	118511
ECs3797	X18MM2	37544
ECs3798	X18MM2	15336
ECs3799	X18MM2	46
ECs3800	X18MM2	98
ECs3801	X18MM2	35
ECs3802	X18MM2	70
ECs3803	X18MM2	278
ECs3804	X18MM2	1074
ECs3805	X18MM2	1364
ECs3806	X18MM2	121
ECs3807	X18MM2	85
ECs3808	X18MM2	59
ECs3809	X18MM2	15
ECs3810	X18MM2	16112
ECs3811	X18MM2	4099
ECs3812	X18MM2	6648
ECs3813	X18MM2	249
ECs3814	X18MM2	25525
ECs3815	X18MM2	1076
ECs3816	X18MM2	4372
ECs3817	X18MM2	4077
ECs3818	X18MM2	119759
ECs3819	X18MM2	4511
ECs3820	X18MM2	595
ECs3821	X18MM2	423
ECs3822	X18MM2	3120
ECs3823	X18MM2	5687
ECs3824	X18MM2	7712
ECs3825	X18MM2	3652
ECs3827	X18MM2	657
ECs3826	X18MM2	4734
ECs3828	X18MM2	6813
ECs3829	X18MM2	1571
ECs3830	X18MM2	3019
ECs3831	X18MM2	5132
ECs3832	X18MM2	284
ECs3833	X18MM2	2142
ECs3834	X18MM2	1511
ECs3835	X18MM2	3415
ECs3836	X18MM2	5011
ECs3837	X18MM2	5712
ECs3838	X18MM2	2667
ECs3839	X18MM2	4115
ECs3840	X18MM2	3773
ECs3841	X18MM2	6038
ECs3842	X18MM2	426
pheV	X18MM2	171
ECs3843	X18MM2	4145
ECs3844	X18MM2	816
ECs3845	X18MM2	80
ECs3846	X18MM2	431
ECs3847	X18MM2	204
ECs3848	X18MM2	3276
ECs3849	X18MM2	781
ECs3850	X18MM2	6
ECs3851	X18MM2	2
ECs3852	X18MM2	51
ECs3853	X18MM2	334
ECs3854	X18MM2	166
ECs3855	X18MM2	281
ECs3856	X18MM2	39
ECs3857	X18MM2	199
ECs3858	X18MM2	169
ECs3859	X18MM2	260
ECs3860	X18MM2	258
ECs3861	X18MM2	84
ECs3862	X18MM2	4235
ECs3863	X18MM2	1275
ECs3864	X18MM2	81
ECs3865	X18MM2	96
ECs3866	X18MM2	1030
ECs3867	X18MM2	56
ECs3868	X18MM2	53
ECs3869	X18MM2	690
ECs3870	X18MM2	132
ECs3871	X18MM2	632
ECs3872	X18MM2	935
ECs3873	X18MM2	8609
ECs3874	X18MM2	14238
ECs3875	X18MM2	622
ECs3876	X18MM2	141
ECs3877	X18MM2	578
ECs3878	X18MM2	629
ECs3879	X18MM2	623
ECs3880	X18MM2	121
ECs3881	X18MM2	112
ECs3882	X18MM2	255
ECs3883	X18MM2	98
ECs3884	X18MM2	1657
ECs3885	X18MM2	2183
ECs3886	X18MM2	6987
ECs3887	X18MM2	5840
ECs3888	X18MM2	269
ECs3889	X18MM2	739
ECs3890	X18MM2	3571
ECs3891	X18MM2	121
ECs3892	X18MM2	9253
ECs3893	X18MM2	4401
ECs3895	X18MM2	603
ECs3894	X18MM2	748
ECs3896	X18MM2	2906
ECs3897	X18MM2	64
ECs3898	X18MM2	301
ECs3899	X18MM2	481
ECs3900	X18MM2	27644
ECs3901	X18MM2	6805
ECs3902	X18MM2	3899
ECs3903	X18MM2	17178
ECs3904	X18MM2	750
ECs3905	X18MM2	244
ECs3906	X18MM2	1045
ECs3907	X18MM2	538
ECs3908	X18MM2	355
ECs3909	X18MM2	923
ECs3910	X18MM2	1659
ECs3911	X18MM2	6043
ECs3912	X18MM2	1376
ECs3913	X18MM2	352
ECs3914	X18MM2	436
ECs3915	X18MM2	128
ECs3916	X18MM2	285
ECs3917	X18MM2	898
ECs3918	X18MM2	17405
ECs3919	X18MM2	4154
ECs3920	X18MM2	8843
ECs3921	X18MM2	3572
ECs3922	X18MM2	3583
ECs3923	X18MM2	46675
ECs3924	X18MM2	101
ECs3925	X18MM2	11645
ECs3926	X18MM2	29032
ECs3927	X18MM2	4869
ECs3928	X18MM2	5506
ECs3929	X18MM2	20281
ECs3930	X18MM2	9918
ECs3931	X18MM2	3551
ECs3932	X18MM2	582
ECs3933	X18MM2	825
ECs3934	X18MM2	1742
ECs3935	X18MM2	4035
ECs3936	X18MM2	2486
ECs3937	X18MM2	1085
ECs3938	X18MM2	11740
ECs3939	X18MM2	13075
ECs3940	X18MM2	2999
ECs3941	X18MM2	269
ECs3942	X18MM2	4640
ECs3943	X18MM2	431
ECs3944	X18MM2	98
ECs3945	X18MM2	62
ECs3946	X18MM2	1094
ECs3947	X18MM2	6576
ECs3948	X18MM2	79332
ECs3949	X18MM2	34722
ECs3950	X18MM2	79130
ECs3951	X18MM2	1553
ileX	X18MM2	42
ECs3952	X18MM2	479
ECs3953	X18MM2	632
ECs3954	X18MM2	1410
ECs3955	X18MM2	93597
ECs3956	X18MM2	453
ECs3957	X18MM2	1996
ECs3958	X18MM2	570
ECs3959	X18MM2	55
ECs3960	X18MM2	120
ECs3961	X18MM2	177
ECs3962	X18MM2	556
ECs3963	X18MM2	476
ECs3964	X18MM2	552
ECs3965	X18MM2	426
ECs3966	X18MM2	7223
ECs3967	X18MM2	558
ECs3968	X18MM2	262
ECs3969	X18MM2	3991
ECs3970	X18MM2	3289
ECs3971	X18MM2	11839
ECs3972	X18MM2	487
ECs3973	X18MM2	1410
ECs3974	X18MM2	2023
ECs3975	X18MM2	2735
ECs3976	X18MM2	6058
ECs3977	X18MM2	5424
ECs3978	X18MM2	3018
ECs3979	X18MM2	42557
ECs3980	X18MM2	27449
ECs3981	X18MM2	28929
ECs3982	X18MM2	18479
ECs3983	X18MM2	2963
ECs3984	X18MM2	4132
ECs3985	X18MM2	537
ECs3986	X18MM2	39
ECs3987	X18MM2	489
ECs3988	X18MM2	1489
ECs3989	X18MM2	1243
ECs3990	X18MM2	664
ECs3991	X18MM2	270
ECs3992	X18MM2	315
ECs3993	X18MM2	155
ECs3994	X18MM2	149
ECs3995	X18MM2	86
ECs3996	X18MM2	278
ECs3997	X18MM2	62
ECs3998	X18MM2	46
ECs3999	X18MM2	4
ECs4000	X18MM2	32
ECs4001	X18MM2	50
rnpB	X18MM2	444900
ECs4002	X18MM2	580
ECs4003	X18MM2	266
ECs4004	X18MM2	80
ECs4005	X18MM2	52
ECs4006	X18MM2	386
ECs4007	X18MM2	1496
ECs4008	X18MM2	1879
ECs4009	X18MM2	1613
ECs4010	X18MM2	245
ECs4011	X18MM2	82
ECs4012	X18MM2	74
ECs4013	X18MM2	104
ECs4014	X18MM2	24
ECs4015	X18MM2	160
ECs4016	X18MM2	291
ECs4017	X18MM2	157
ECs4018	X18MM2	29
ECs4019	X18MM2	142
ECs4020	X18MM2	632
ECs4021	X18MM2	74
ECs4022	X18MM2	2325
ECs4023	X18MM2	423
ECs4024	X18MM2	1342
ECs4025	X18MM2	2233
ECs4026	X18MM2	1370
ECs4027	X18MM2	3584
ECs4028	X18MM2	9943
ECs4029	X18MM2	668
ECs4030	X18MM2	5486
ECs4031	X18MM2	8187
ECs4032	X18MM2	2304
ECs4033	X18MM2	390
ECs4034	X18MM2	3419
ECs4035	X18MM2	1399
ECs4036	X18MM2	405
ECs4037	X18MM2	1693
ECs4038	X18MM2	4078
ECs4039	X18MM2	299
ECs4040	X18MM2	634
ECs4041	X18MM2	5348
ECs4042	X18MM2	29412
ECs4043	X18MM2	91762
ECs4044	X18MM2	101327
ECs4045	X18MM2	222335
ECs4046	X18MM2	104513
ECs4047	X18MM2	16959
ECs4048	X18MM2	5958
ECs4049	X18MM2	70048
ECs4050	X18MM2	41617
ECs4051	X18MM2	16693
metY	X18MM2	6628
ECs4052	X18MM2	32674
ECs4053	X18MM2	727
leuU	X18MM2	1045
ECs4054	X18MM2	44496
ECs4055	X18MM2	12202
ECs4056	X18MM2	4319
ECs4057	X18MM2	134415
ECs4058	X18MM2	39743
ECs4059	X18MM2	28090
ECs4060	X18MM2	9258
ECs4061	X18MM2	4527
ECs4062	X18MM2	7037
ECs4063	X18MM2	7659
ECs4064	X18MM2	73910
ECs4065	X18MM2	106023
ECs4066	X18MM2	10609
ECs4067	X18MM2	709
ECs4068	X18MM2	20528
ECs4069	X18MM2	2781
ECs4070	X18MM2	5248
ECs4071	X18MM2	9827
ECs4072	X18MM2	2177
ECs4073	X18MM2	2909
ECs4074	X18MM2	6577
ECs4075	X18MM2	1947
ECs4076	X18MM2	4661
ECs4077	X18MM2	3810
ECs4078	X18MM2	5081
ECs4079	X18MM2	7369
ECs4080	X18MM2	7532
ECs4081	X18MM2	21503
ECs4082	X18MM2	7318
ECs4083	X18MM2	5708
ECs4084	X18MM2	7778
ECs4085	X18MM2	936
ECs4086	X18MM2	23777
ECs4087	X18MM2	3230
ECs4088	X18MM2	4062
ECs4089	X18MM2	16253
ECs4090	X18MM2	252
ECs4091	X18MM2	42284
ECs4092	X18MM2	21930
ECs4093	X18MM2	1933
ECs4094	X18MM2	1389
ECs4095	X18MM2	877
ECs4096	X18MM2	371
ECs4097	X18MM2	1038
ECs4098	X18MM2	712
ECs4099	X18MM2	6824
ECs4100	X18MM2	493
ECs4101	X18MM2	12904
ECs4102	X18MM2	35646
ECs4103	X18MM2	142855
ECs4104	X18MM2	177789
ECs4105	X18MM2	6768
ECs4106	X18MM2	12182
ECs4107	X18MM2	6108
ECs4108	X18MM2	4215
ECs4109	X18MM2	48441
ECs4110	X18MM2	12699
ECs4111	X18MM2	669
ECs4112	X18MM2	719
ECs4113	X18MM2	1136
ECs4114	X18MM2	483
ECs4115	X18MM2	163
ECs4116	X18MM2	2362
ECs4117	X18MM2	14086
ECs4118	X18MM2	10167
ECs4119	X18MM2	13555
ECs4120	X18MM2	2711
ECs4121	X18MM2	3054
ECs4122	X18MM2	11022
ECs4123	X18MM2	31203
ECs4124	X18MM2	12157
ECs4125	X18MM2	919
ECs4126	X18MM2	97
ECs4127	X18MM2	17895
ECs4128	X18MM2	31498
ECs4129	X18MM2	892
ECs4130	X18MM2	5528
ECs4131	X18MM2	8218
ECs4132	X18MM2	89205
ECs4133	X18MM2	27690
ECs4134	X18MM2	1732
ECs4135	X18MM2	100
ECs4136	X18MM2	71
ECs4137	X18MM2	149
ECs4138	X18MM2	1395
ECs4139	X18MM2	1574
ECs4140	X18MM2	688
ECs4141	X18MM2	1514
ECs4142	X18MM2	697
ECs4143	X18MM2	463
ECs4144	X18MM2	894
rrfF	X18MM2	11
thrV	X18MM2	0
rrfD	X18MM2	28
rrlD	X18MM2	3121
alaU	X18MM2	847
ileU	X18MM2	1007
rrsD	X18MM2	5888
ECs4145	X18MM2	9535
