Gene	experiment	X18MM1
ECs0211	X18MM1	5197
aspV	X18MM1	424
ECs0212	X18MM1	37
ECs0213	X18MM1	25
ECs0214	X18MM1	30
ECs0215	X18MM1	1
ECs0216	X18MM1	25
ECs0217	X18MM1	484
ECs0218	X18MM1	690
ECs0219	X18MM1	31
ECs0220	X18MM1	202
ECs0221	X18MM1	145
ECs0222	X18MM1	28
ECs0223	X18MM1	499
ECs0224	X18MM1	228
ECs0225	X18MM1	658
ECs0226	X18MM1	119
ECs0227	X18MM1	268
ECs0228	X18MM1	176
ECs0229	X18MM1	547
ECs0230	X18MM1	225
ECs0231	X18MM1	448
ECs0232	X18MM1	64
ECs0233	X18MM1	298
ECs0234	X18MM1	166
ECs0235	X18MM1	14
ECs0236	X18MM1	232
ECs0237	X18MM1	952
ECs0238	X18MM1	114
ECs0239	X18MM1	117
ECs0240	X18MM1	15
ECs0241	X18MM1	99
ECs0242	X18MM1	685
ECs0243	X18MM1	6
ECs0244	X18MM1	23
ECs0245	X18MM1	168
ECs0246	X18MM1	1491
ECs0247	X18MM1	2159
ECs0248	X18MM1	5017
ECs0249	X18MM1	4550
ECs0250	X18MM1	3578
ECs0251	X18MM1	6469
ECs0252	X18MM1	1133
ECs0253	X18MM1	2268
ECs0254	X18MM1	272
ECs0255	X18MM1	515
ECs0257	X18MM1	225
ECs0256	X18MM1	72
ECs0258	X18MM1	724
ECs0259	X18MM1	237
ECs0260	X18MM1	204
ECs0261	X18MM1	113
ECs0262	X18MM1	28
ECs0263	X18MM1	679
ECs0264	X18MM1	33307
ECs0265	X18MM1	12897
ECs0266	X18MM1	3582
ECs0267	X18MM1	9442
ECs0268	X18MM1	422
ECs0269	X18MM1	5893
ECs0270	X18MM1	7179
thrW	X18MM1	279
ECs0271	X18MM1	2661
ECs0272	X18MM1	156
ECs0273	X18MM1	2139
ECs0274	X18MM1	15180
ECs0275	X18MM1	58
ECs0276	X18MM1	71
ECs0277	X18MM1	1534
ECs0278	X18MM1	27
ECs0279	X18MM1	19
ECs0280	X18MM1	75
ECs0281	X18MM1	64
ECs0282	X18MM1	28
ECs0283	X18MM1	23
ECs0284	X18MM1	123
ECs0285	X18MM1	2971
ECs0286	X18MM1	0
ECs0287	X18MM1	92
ECs0288	X18MM1	101
ECs0289	X18MM1	381
ECs0290	X18MM1	17
ECs0291	X18MM1	13
ECs0292	X18MM1	6
ECs0293	X18MM1	13
ECs0294	X18MM1	9
ECs0295	X18MM1	24
ECs0296	X18MM1	240
ECs0297	X18MM1	192
ECs0298	X18MM1	62
ECs0299	X18MM1	22
ECs0300	X18MM1	235
ECs0301	X18MM1	34
ECs0302	X18MM1	268
ECs0303	X18MM1	1020
ECs0304	X18MM1	386
ECs0305	X18MM1	732
ECs0306	X18MM1	215
ECs0307	X18MM1	12
ECs0308	X18MM1	8
ECs0309	X18MM1	912
ECs0310	X18MM1	211
ECs0311	X18MM1	415
ECs0312	X18MM1	55
ECs0313	X18MM1	505
ECs0314	X18MM1	1805
ECs0315	X18MM1	470
ECs0316	X18MM1	1264
ECs0317	X18MM1	229
ECs0318	X18MM1	199
ECs0319	X18MM1	405
ECs0320	X18MM1	1057
ECs0321	X18MM1	1498
ECs0322	X18MM1	440
ECs0323	X18MM1	758
ECs0324	X18MM1	371
ECs0325	X18MM1	107
ECs0326	X18MM1	28
ECs0327	X18MM1	817
ECs0328	X18MM1	101
ECs0329	X18MM1	25
ECs0330	X18MM1	923
ECs0331	X18MM1	54
ECs0332	X18MM1	328
ECs0333	X18MM1	684
ECs0334	X18MM1	577
ECs0335	X18MM1	240
ECs0336	X18MM1	595
ECs0337	X18MM1	2169
ECs0338	X18MM1	941
ECs0340	X18MM1	35
ECs0339	X18MM1	0
ECs0341	X18MM1	0
ECs0342	X18MM1	1252
ECs0343	X18MM1	347
ECs0344	X18MM1	282
ECs0345	X18MM1	479
ECs0346	X18MM1	134
ECs0347	X18MM1	8
ECs0348	X18MM1	3
ECs0349	X18MM1	18
ECs0350	X18MM1	30
ECs0351	X18MM1	67
ECs0352	X18MM1	118
ECs0353	X18MM1	103
ECs0354	X18MM1	7
ECs0355	X18MM1	60
ECs0356	X18MM1	0
ECs0357	X18MM1	1053
ECs0358	X18MM1	1576
ECs0359	X18MM1	545
ECs0360	X18MM1	1798
ECs0361	X18MM1	0
ECs0362	X18MM1	1113
ECs0363	X18MM1	1177
ECs0364	X18MM1	107
ECs0365	X18MM1	750
ECs0366	X18MM1	9
ECs0367	X18MM1	100
ECs0368	X18MM1	17
ECs0369	X18MM1	88
ECs0370	X18MM1	640
ECs0371	X18MM1	412
ECs0372	X18MM1	131
ECs0373	X18MM1	493
ECs0374	X18MM1	583
ECs0375	X18MM1	115
ECs0376	X18MM1	549
ECs0377	X18MM1	430
ECs0378	X18MM1	2861
ECs0379	X18MM1	10943
ECs0380	X18MM1	72
ECs0381	X18MM1	44
ECs0382	X18MM1	259
ECs0383	X18MM1	16983
ECs0384	X18MM1	1566
ECs0385	X18MM1	589
ECs0386	X18MM1	468
ECs0387	X18MM1	419
ECs0388	X18MM1	564
ECs0389	X18MM1	14198
ECs0390	X18MM1	19657
ECs0391	X18MM1	2980
ECs0392	X18MM1	158
ECs0393	X18MM1	135
ECs0394	X18MM1	955
ECs0395	X18MM1	5987
ECs0396	X18MM1	8875
ECs0397	X18MM1	69716
ECs0398	X18MM1	3174
ECs0399	X18MM1	865
ECs0400	X18MM1	698
ECs0401	X18MM1	422
ECs0402	X18MM1	94
ECs0403	X18MM1	62
ECs0404	X18MM1	122
ECs0405	X18MM1	49
ECs0406	X18MM1	88
ECs0407	X18MM1	79
ECs0408	X18MM1	260
ECs0409	X18MM1	1106
ECs0410	X18MM1	2137
ECs0411	X18MM1	9568
ECs0412	X18MM1	2295
ECs0413	X18MM1	758
ECs0414	X18MM1	694
ECs0415	X18MM1	804
ECs0416	X18MM1	728
ECs0417	X18MM1	1007
ECs0418	X18MM1	608
ECs0419	X18MM1	864
ECs0420	X18MM1	707
ECs0421	X18MM1	491
ECs0422	X18MM1	2232
ECs0423	X18MM1	8690
ECs0424	X18MM1	2373
ECs0425	X18MM1	85
ECs0426	X18MM1	2273
ECs0427	X18MM1	1201
ECs0428	X18MM1	2863
ECs0429	X18MM1	1733
ECs0430	X18MM1	400
ECs0431	X18MM1	6699
ECs0432	X18MM1	1657
ECs0433	X18MM1	1897
ECs0434	X18MM1	3232
ECs0435	X18MM1	772
ECs0437	X18MM1	5049
ECs0436	X18MM1	1578
ECs0438	X18MM1	4419
ECs0439	X18MM1	2925
ECs0440	X18MM1	6905
ECs0441	X18MM1	4766
ECs0442	X18MM1	60
ECs0443	X18MM1	290
ECs0445	X18MM1	13500
ECs0444	X18MM1	611
ECs0446	X18MM1	1119
ECs0447	X18MM1	3750
ECs0448	X18MM1	2155
ECs0449	X18MM1	1837
ECs0450	X18MM1	2002
ECs0451	X18MM1	8226
ECs0452	X18MM1	3088
ECs0453	X18MM1	789
ECs0454	X18MM1	466
ECs0455	X18MM1	1427
ECs0456	X18MM1	6440
ECs0457	X18MM1	30923
ECs0458	X18MM1	16563
ECs0459	X18MM1	31504
ECs0460	X18MM1	12161
ECs0461	X18MM1	915
ECs0462	X18MM1	1068
ECs0463	X18MM1	2754
ECs0464	X18MM1	12591
ECs0465	X18MM1	1860
ECs0466	X18MM1	1846
ECs0467	X18MM1	3953
ECs0468	X18MM1	9558
ECs0469	X18MM1	11565
ECs0470	X18MM1	1021
ECs0471	X18MM1	1165
ECs0472	X18MM1	273
ECs0473	X18MM1	4039
ECs0474	X18MM1	12248
ECs0475	X18MM1	8569
ECs0476	X18MM1	2212
ECs0477	X18MM1	13445
ECs0478	X18MM1	902
ECs0479	X18MM1	1646
ECs0480	X18MM1	7898
ECs0481	X18MM1	2271
ECs0482	X18MM1	11345
ECs0483	X18MM1	5184
ECs0484	X18MM1	8828
ECs0485	X18MM1	48600
ECs0486	X18MM1	35083
ECs0487	X18MM1	4859
ECs0488	X18MM1	7427
ECs0489	X18MM1	22276
ECs0490	X18MM1	141356
ECs0491	X18MM1	20480
ECs0492	X18MM1	40473
ECs0493	X18MM1	52202
ECs0494	X18MM1	20135
ECs0495	X18MM1	28464
ECs0496	X18MM1	281
ECs0497	X18MM1	758
ECs0498	X18MM1	3055
ECs0499	X18MM1	842
ECs0500	X18MM1	1847
ECs0501	X18MM1	1018
ECs0502	X18MM1	1672
ECs0503	X18MM1	1609
ECs0504	X18MM1	761
ECs0505	X18MM1	1799
ECs0506	X18MM1	2731
ECs0507	X18MM1	19710
ECs0508	X18MM1	676
ffs	X18MM1	371
ECs0509	X18MM1	4141
ECs0510	X18MM1	2526
ECs0511	X18MM1	2006
ECs0512	X18MM1	1918
ECs0513	X18MM1	2252
ECs0514	X18MM1	3926
ECs0515	X18MM1	46769
ECs0516	X18MM1	19205
ECs0517	X18MM1	3950
ECs0518	X18MM1	9533
ECs0519	X18MM1	130
ECs0520	X18MM1	676
ECs0521	X18MM1	1243
ECs0522	X18MM1	10214
ECs0523	X18MM1	11149
ECs0524	X18MM1	8241
ECs0525	X18MM1	7287
