mysql> select id, accession from sequence where organism like 'Es%';
+------+-----------+
| id   | accession |
|  244 | ECs0237   |
|  245 | ECs0238   |
|  246 | ECs0239   |
|  247 | ECs0240   |
|  248 | ECs0241   |
|  249 | ECs0242   |
|  250 | ECs0243   |
|  251 | ECs0244   |
|  252 | ECs0245   |
|  253 | ECs0246   |
|  254 | ECs0247   |
|  255 | ECs0248   |
|  256 | ECs0249   |
|  257 | ECs0250   |
|  258 | ECs0251   |
|  259 | ECs0252   |
|  260 | ECs0253   |
|  261 | ECs0254   |
|  262 | ECs0255   |
|  263 | ECs0257   |
|  264 | ECs0256   |
|  265 | ECs0258   |
|  266 | ECs0259   |
|  267 | ECs0260   |
|  268 | ECs0261   |
|  269 | ECs0262   |
|  270 | ECs0263   |
|  271 | ECs0264   |
|  272 | ECs0265   |
|  273 | ECs0266   |
|  274 | ECs0267   |
|  275 | ECs0268   |
|  276 | ECs0269   |
|  277 | ECs0270   |
|  278 | thrW      |
|  279 | ECs0271   |
|  280 | ECs0272   |
|  281 | ECs0273   |
|  282 | ECs0274   |
|  283 | ECs0275   |
|  284 | ECs0276   |
|  285 | ECs0277   |
|  286 | ECs0278   |
|  287 | ECs0279   |
|  288 | ECs0280   |
|  289 | ECs0281   |
|  290 | ECs0282   |
|  291 | ECs0283   |
|  292 | ECs0284   |
|  293 | ECs0285   |
|  294 | ECs0286   |
|  295 | ECs0287   |
|  296 | ECs0288   |
|  297 | ECs0289   |
|  298 | ECs0290   |
|  299 | ECs0291   |
|  300 | ECs0292   |
|  301 | ECs0293   |
|  302 | ECs0294   |
|  303 | ECs0295   |
|  304 | ECs0296   |
|  305 | ECs0297   |
|  306 | ECs0298   |
|  307 | ECs0299   |
|  308 | ECs0300   |
|  309 | ECs0301   |
|  310 | ECs0302   |
|  311 | ECs0303   |
|  312 | ECs0304   |
|  313 | ECs0305   |
|  314 | ECs0306   |
|  315 | ECs0307   |
|  316 | ECs0308   |
|  317 | ECs0309   |
|  318 | ECs0310   |
|  319 | ECs0311   |
|  320 | ECs0312   |
|  321 | ECs0313   |
|  322 | ECs0314   |
|  323 | ECs0315   |
|  324 | ECs0316   |
|  325 | ECs0317   |
|  326 | ECs0318   |
|  327 | ECs0319   |
|  328 | ECs0320   |
|  329 | ECs0321   |
|  330 | ECs0322   |
|  331 | ECs0323   |
|  332 | ECs0324   |
|  333 | ECs0325   |
|  334 | ECs0326   |
|  335 | ECs0327   |
|  336 | ECs0328   |
|  337 | ECs0329   |
|  338 | ECs0330   |
|  339 | ECs0331   |
|  340 | ECs0332   |
|  341 | ECs0333   |
|  342 | ECs0334   |
|  343 | ECs0335   |
|  344 | ECs0336   |
